planet_name,NOBS,REF,RMS,URL
HD 177830 b,54.0,Butler 2006,6.2,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 177830 c,,,,
HD 178911 B b,105.0,Wittenmyer 2009,9.1,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 179079 b,74.0,Valenti 2009,3.88,http://adsabs.harvard.edu/abs/2009ApJ...702..989V
HD 179949 b,88.0,Butler 2006,12.0,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 180314 b,24.0,Sato 2010,12.9,http://adsabs.harvard.edu/abs/2010PASJ...62.1063S
HD 180902 b,12.0,Johnson 2010,3.3,http://adsabs.harvard.edu/abs/2010PASP..122..701J
HD 181342 b,17.0,Johnson 2010,4.7,http://adsabs.harvard.edu/abs/2010PASP..122..701J
HD 181433 b,107.0,Bouchy 2009,1.06,http://adsabs.harvard.edu/abs/2009A%26A...496..527B
HD 181433 c,107.0,Bouchy 2009,1.06,http://adsabs.harvard.edu/abs/2009A%26A...496..527B
HD 181433 d,107.0,Bouchy 2009,1.06,http://adsabs.harvard.edu/abs/2009A%26A...496..527B
HD 181720 b,28.0,Santos 2010,1.37,http://adsabs.harvard.edu/abs/2010A%26A...512A..47S
HD 183263 b,41.0,Wright 2009,3.74,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 183263 c,41.0,Wright 2009,3.74,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 185269 b,70.0,Johnson 2006,16.2982,http://adsabs.harvard.edu/abs/2006ApJ...652.1724J
HD 187085 b,33.0,Jones 2006,7.1,http://adsabs.harvard.edu/abs/2006MNRAS.369..249J
HD 187123 b,76.0,Wright 2009,2.52226,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 187123 c,76.0,Wright 2009,2.52226,http://adsabs.harvard.edu/abs/2007ApJ...657..533W
HD 18742 b,26.0,Johnson 2011,7.9,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 188015 b,44.0,Butler 2006,4.3,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 189567 b,,,,
HD 189733 b,,Bouchy 2005,15.0,http://adsabs.harvard.edu/abs/2005A%26A...444L..15B
HD 190360 b,107.0,Wright 2009,3.10289,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 190360 c,107.0,Wright 2009,3.10289,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 190647 b,21.0,Naef 2007,1.6,http://adsabs.harvard.edu/abs/2007A%26A...470..721N
HD 190984 b,,,,
HD 191806 b,,,,
HD 192263 b,31.0,Butler 2006,7.7,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 192699 b,,Bowler 2010,,http://adsabs.harvard.edu/abs/2010ApJ...709..396B
HD 195019 b,154.0,Butler 2006,16.0,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 196050 b,44.0,Butler 2006,8.4,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 196067 b,,,,
HD 196885 A b,,,,
HD 197037 b,113.0,Robertson 2012,8.0,http://adsabs.harvard.edu/abs/2012ApJ...749...39R
HD 19994 b,116.0,Wittenmyer 2009,14.0,http://adsabs.harvard.edu/abs/2009ApJS..182...97W
HD 20003 b,,,,
HD 20003 c,,,,
HD 200964 b,80.0,Johnson 2011,6.8,http://adsabs.harvard.edu/abs/2011AJ....141...16J
HD 200964 c,80.0,Johnson 2011,6.8,http://adsabs.harvard.edu/abs/2011AJ....141...16J
HD 202206 b,,Correia 2005,9.65,http://adsabs.harvard.edu/abs/2005A%26A...440..751C
HD 202206 c,,Correia 2005,9.65,http://adsabs.harvard.edu/abs/2005A%26A...440..751C
HD 20367 b,,,,
HD 2039 b,41.0,Butler 2006,11.0,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 204313 b,36.0,Robertson 2012,7.8,http://adsabs.harvard.edu/abs/2012ApJ...754...50R
HD 204313 c,,,,
